Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000266228	ENSG00000266228.1	MIR3611	100500890
ENSG00000292355	ENSG00000292355.1	MIR3690	100500894
ENSG00000265658	ENSG00000265658.6	MIR3690	100500894
ENSG00000207688	ENSG00000207688.2	MIR548AA2	100500895
ENSG00000266751	ENSG00000266751.1	MIR3661	100500905
ENSG00000265395	ENSG00000265395.1	MIR3944	100500911
ENSG00000283960	ENSG00000283960.1	MIR3714	100500913
ENSG00000283885	ENSG00000283885.1	MIR3714	100500913
ENSG00000265462	ENSG00000265462.1	MIR3680-1	100500917
ENSG00000291345	ENSG00000291345.1	MIR3651	100500918
ENSG00000281156	ENSG00000281156.1	MIR3651	100500918
ENSG00000283154	ENSG00000283154.3	IQCJ-SCHIP1	100505385
ENSG00000267712	ENSG00000267712.6	LINC01539	100505474
ENSG00000267040	ENSG00000267040.8	ATP8B1-AS1	100505549
ENSG00000259330	ENSG00000259330.3	INAFM2	100505573
ENSG00000263874	ENSG00000263874.3	LASP1NB	100505576
ENSG00000250988	ENSG00000250988.7	SNHG21	100505616
ENSG00000234945	ENSG00000234945.8	GTF3C2-AS1	100505624
ENSG00000248677	ENSG00000248677.2	LINC02102	100505625
ENSG00000235033	ENSG00000235033.7	DAAM2-AS1	100505635
ENSG00000225733	ENSG00000225733.8	FGD5-AS1	100505641
ENSG00000245849	ENSG00000245849.8	RAD51-AS1	100505648
ENSG00000246422	ENSG00000246422.2	DIAPH1-AS1	100505658
ENSG00000230387	ENSG00000230387.5		100505664
ENSG00000246145	ENSG00000246145.1	RRS1-DT	100505676
ENSG00000246859	ENSG00000246859.3	STARD4-AS1	100505678
ENSG00000232645	ENSG00000232645.7	LINC01431	100505683
ENSG00000291106	ENSG00000291106.1	SNHG33	100505687
ENSG00000224660	ENSG00000224660.2	SH3BP5-AS1	100505696
ENSG00000267058	ENSG00000267058.1		100505715
